stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\thall\Desktop\JogoAllegro5\Birigui\mini_game_surf\x64\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.38336] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.38345] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38355] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.38364] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38375] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.38387] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38420] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.38618] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.38814] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.38855] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.39116] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.39281] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.39396] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.39500] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.39593] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.39697] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.39806] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.39908] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.40003] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.40098] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.40361] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.40469] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.40635] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.40744] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.40831] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.40877] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41075] Single Buffer requirement not met.
